TestName,TotInstrCount,PeInstrCount,ActInstrCount,PoolInstrCount,ActiveRows,ActiveCols,ActiveChannels,TotUniqWaitEventCount,TotWaitEventCount,TotUniqSetEventCount,TotSetEventCount,PeInstructions,ActInstructions,PoolInstructions
6-rn50_nne_to_act25_wave-repl,5407,3404,1281,722,128,64,64,229,630,202,371,LDWEIGHTS 1243  MATMUL 1560  NOP 389  WRITE 212  ,ACTIVATION 628  NOP 610  WRITE 43  ,NOP 361  POOL 14  TENSOR_TENSOR_OP 312  WRITE 35  
6-rn50_nne_to_act28_wave-repl,5855,3738,1368,749,128,64,64,232,655,205,388,LDWEIGHTS 1379  MATMUL 1696  NOP 426  WRITE 237  ,ACTIVATION 652  NOP 660  WRITE 56  ,NOP 371  POOL 14  TENSOR_TENSOR_OP 328  WRITE 36  
2-padasym_strd_h224r7s2_wave,5888,5775,3,110,3,64,64,58,58,54,54,LDWEIGHTS 2737  MATMUL 2899  NOP 57  WRITE 82  ,NOP 1  WRITE 2  ,NOP 26  POOL 56  WRITE 28  
0-1conv0_padvalid_wave,6020,5924,3,93,1,4,1,58,58,54,54,LDWEIGHTS 2744  MATMUL 3038  NOP 58  WRITE 84  ,NOP 1  WRITE 2  ,NOP 18  POOL 56  WRITE 19  
5-rn50_nne_to_act4_wave-no_repl-t9,6084,5988,3,93,3,64,64,58,58,54,54,LDWEIGHTS 2737  MATMUL 3101  NOP 62  WRITE 88  ,NOP 1  WRITE 2  ,NOP 18  POOL 56  WRITE 19  
5-rn50_nne_to_act4_wave-no_repl-t9_focus_to,6084,5988,3,93,3,64,64,58,58,54,54,LDWEIGHTS 2737  MATMUL 3101  NOP 62  WRITE 88  ,NOP 1  WRITE 2  ,NOP 18  POOL 56  WRITE 19  
3-1conv0_padvalid_wave,6123,6027,3,93,3,64,64,58,58,54,54,LDWEIGHTS 2744  MATMUL 3129  NOP 64  WRITE 90  ,NOP 1  WRITE 2  ,NOP 18  POOL 56  WRITE 19  
5-rn50_nne_to_act4_wave-no_repl-t1,6164,6017,101,46,64,64,64,30,30,7,7,LDWEIGHTS 2738  MATMUL 3115  NOP 73  WRITE 91  ,ACTIVATION 70  NOP 26  WRITE 5  ,NOP 24  POOL 14  WRITE 8  
5-rn50_nne_to_act4_wave-no_repl-t1_focus_to,6164,6017,101,46,64,64,64,30,30,7,7,LDWEIGHTS 2738  MATMUL 3115  NOP 73  WRITE 91  ,ACTIVATION 70  NOP 26  WRITE 5  ,NOP 24  POOL 14  WRITE 8  
5-rn50_nne_to_act4_wave-no_repl-t8,6198,5990,115,93,3,64,64,58,58,2,2,LDWEIGHTS 2737  MATMUL 3101  NOP 63  WRITE 89  ,ACTIVATION 56  NOP 54  WRITE 5  ,NOP 74  WRITE 19  
3-rn50-16_wave,6224,6128,3,93,3,64,64,58,58,54,54,LDWEIGHTS 2737  MATMUL 3241  NOP 62  WRITE 88  ,NOP 1  WRITE 2  ,NOP 18  POOL 56  WRITE 19  
5-rn50_nne_to_act4_wave-no_repl-t4,6301,6066,164,71,64,64,64,45,45,8,8,LDWEIGHTS 2741  MATMUL 3157  NOP 76  WRITE 92  ,ACTIVATION 112  NOP 45  WRITE 7  ,NOP 44  POOL 14  WRITE 13  
3-rn50_relu_fp16_wave,6326,6118,115,93,3,6,3,58,58,2,2,LDWEIGHTS 2737  MATMUL 3241  NOP 57  WRITE 83  ,ACTIVATION 56  NOP 54  WRITE 5  ,NOP 74  WRITE 19  
3-rn50_ba_relu_fp16_wave,6338,6130,115,93,3,64,64,58,58,2,2,LDWEIGHTS 2737  MATMUL 3241  NOP 63  WRITE 89  ,ACTIVATION 56  NOP 54  WRITE 5  ,NOP 74  WRITE 19  
4-rn50_nne_from3_wave,6338,6130,115,93,3,64,64,58,58,2,2,LDWEIGHTS 2737  MATMUL 3241  NOP 63  WRITE 89  ,ACTIVATION 56  NOP 54  WRITE 5  ,NOP 74  WRITE 19  
5-rn50_nne_to_act4_wave-no_repl-t2,6449,6277,124,48,64,64,64,31,31,8,8,LDWEIGHTS 2864  MATMUL 3241  NOP 78  WRITE 94  ,ACTIVATION 84  NOP 35  WRITE 5  ,NOP 26  POOL 14  WRITE 8  
5-rn50_nne_to_act4_wave-no_repl-t3,6561,6343,118,100,64,64,64,69,73,60,60,LDWEIGHTS 2868  MATMUL 3297  NOP 83  WRITE 95  ,ACTIVATION 84  NOP 29  WRITE 5  ,NOP 16  POOL 70  WRITE 14  
5-rn50_nne_to_act4_wave-no_repl-t5,6712,6412,190,110,64,64,64,77,82,58,61,LDWEIGHTS 2872  MATMUL 3353  NOP 88  WRITE 99  ,ACTIVATION 140  NOP 43  WRITE 7  ,NOP 26  POOL 14  TENSOR_TENSOR_OP 56  WRITE 14  
5-rn50_nne_to_act4_wave-no_repl,7099,6566,343,190,64,64,64,125,138,88,93,LDWEIGHTS 2872  MATMUL 3493  NOP 100  WRITE 101  ,ACTIVATION 196  NOP 135  WRITE 12  ,NOP 104  POOL 14  TENSOR_TENSOR_OP 56  WRITE 16  
6-rn50_nne_to_act37_wave-repl,7177,4715,1637,825,128,64,64,238,728,211,437,LDWEIGHTS 1787  MATMUL 2104  NOP 519  WRITE 305  ,ACTIVATION 724  NOP 810  WRITE 103  ,NOP 397  POOL 14  TENSOR_TENSOR_OP 376  WRITE 38  
5-rn50_nne_to_act13_wave-no_repl,9175,7836,869,470,128,64,64,216,410,161,245,LDWEIGHTS 3348  MATMUL 4097  NOP 251  WRITE 140  ,ACTIVATION 444  NOP 396  WRITE 29  ,NOP 235  POOL 14  TENSOR_TENSOR_OP 200  WRITE 21  
6-rn50_nne_to_act46_wave-repl,11475,8294,2182,999,128,64,64,239,876,219,521,LDWEIGHTS 3203  MATMUL 3520  NOP 908  WRITE 663  ,ACTIVATION 876  NOP 1112  WRITE 194  ,NOP 477  POOL 14  TENSOR_TENSOR_OP 456  WRITE 52  
7-rn50_nne_fp16_ap_wave,13142,9693,2363,1086,128,64,64,239,943,219,555,LDWEIGHTS 3747  MATMUL 4064  NOP 1078  WRITE 804  ,ACTIVATION 924  NOP 1216  WRITE 223  ,NOP 498  POOL 46  TENSOR_TENSOR_OP 488  WRITE 54  
6-rn50_nne_to_act40_wave,13405,10835,1722,848,128,64,64,239,753,219,454,LDWEIGHTS 4548  MATMUL 5369  NOP 559  WRITE 359  ,ACTIVATION 748  NOP 859  WRITE 115  ,NOP 405  POOL 14  TENSOR_TENSOR_OP 392  WRITE 37  
7-rn50_nne_fp16_wave,13855,10347,2427,1081,128,64,64,239,952,222,573,LDWEIGHTS 4003  MATMUL 4320  NOP 1153  WRITE 871  ,ACTIVATION 940  NOP 1254  WRITE 233  ,NOP 501  POOL 46  TENSOR_TENSOR_OP 488  WRITE 46  
7-rn50_nne_fp16_wave-fast_dram,13855,10347,2427,1081,128,64,64,239,952,222,573,LDWEIGHTS 4003  MATMUL 4320  NOP 1153  WRITE 871  ,ACTIVATION 940  NOP 1254  WRITE 233  ,NOP 501  POOL 46  TENSOR_TENSOR_OP 488  WRITE 46  
7-rn50_nne_fp16_wave-two_banks,13855,10347,2427,1081,128,64,64,239,952,222,573,LDWEIGHTS 4003  MATMUL 4320  NOP 1153  WRITE 871  ,ACTIVATION 940  NOP 1254  WRITE 233  ,NOP 501  POOL 46  TENSOR_TENSOR_OP 488  WRITE 46  
6-rn50_nne_to_act43_wave,15646,12700,2003,943,128,64,64,240,827,230,488,LDWEIGHTS 5284  MATMUL 6105  NOP 761  WRITE 550  ,ACTIVATION 828  NOP 1011  WRITE 164  ,NOP 457  POOL 14  TENSOR_TENSOR_OP 424  WRITE 48  
7-rn50_nne_fc_wave,18870,15460,2362,1048,128,64,64,238,926,232,555,LDWEIGHTS 6372  MATMUL 7193  NOP 1062  WRITE 833  ,ACTIVATION 924  NOP 1215  WRITE 223  ,NOP 495  POOL 14  TENSOR_TENSOR_OP 488  WRITE 51  
7-rn50_nne_fp16_wave-no_repl,19638,16135,2426,1077,128,64,64,238,952,229,573,LDWEIGHTS 6628  MATMUL 7449  NOP 1158  WRITE 900  ,ACTIVATION 940  NOP 1253  WRITE 233  ,NOP 499  POOL 46  TENSOR_TENSOR_OP 488  WRITE 44  
5-rn50_nne_to_act4_b4_wave,28803,26319,1593,891,64,64,64,234,592,228,484,LDWEIGHTS 11486  MATMUL 14000  NOP 481  WRITE 352  ,ACTIVATION 784  NOP 758  WRITE 51  ,NOP 549  POOL 56  TENSOR_TENSOR_OP 224  WRITE 62  
7-rn50_nne_fp16_b4_wave,35251,24329,7117,3805,128,64,64,246,3248,246,1991,LDWEIGHTS 9770  MATMUL 11040  NOP 2400  WRITE 1119  ,ACTIVATION 3184  NOP 3553  WRITE 380  ,NOP 1802  POOL 184  TENSOR_TENSOR_OP 1664  WRITE 155  
7-rn50_nne_fp16_b4_wave-fast_dram,35251,24329,7117,3805,128,64,64,246,3248,246,1991,LDWEIGHTS 9770  MATMUL 11040  NOP 2400  WRITE 1119  ,ACTIVATION 3184  NOP 3553  WRITE 380  ,NOP 1802  POOL 184  TENSOR_TENSOR_OP 1664  WRITE 155  
7-rn50_nne_fp16_b4_wave-two_banks,35251,24329,7117,3805,128,64,64,246,3248,246,1991,LDWEIGHTS 9770  MATMUL 11040  NOP 2400  WRITE 1119  ,ACTIVATION 3184  NOP 3553  WRITE 380  ,NOP 1802  POOL 184  TENSOR_TENSOR_OP 1664  WRITE 155  
7-rn50_nne_fp16_b4_wave-no_repl,58395,47478,7116,3801,128,64,64,246,3248,246,1991,LDWEIGHTS 20270  MATMUL 23584  NOP 2407  WRITE 1217  ,ACTIVATION 3184  NOP 3552  WRITE 380  ,NOP 1800  POOL 184  TENSOR_TENSOR_OP 1664  WRITE 153  
